request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Requested 20558000 IDR; up to 20558000 IDR is safe to pay on 2025-08-05 while keeping the 12588500 IDR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_347 is recommended: 3 payment(s) of 7126773.33 IDR starting 2025-08-05."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Requested 4076000 IDR; up to 4076000 IDR is safe to pay on 2026-01-07 while keeping the 18091200 IDR minimum balance. The full amount is safe today, so full payment on 2026-01-07 is recommended."
request_124,1402.01,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-14,none,"Requested 3104.2 EUR; up to 1402.01 EUR is safe to pay on 2024-06-04 while keeping the 1600 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_352 is recommended: 3 payment(s) of 1076.12 EUR starting 2024-06-11."
request_125,0,not_affordable,not_recommended,none,,none,"Requested 6468 ZAR; up to 0 ZAR is safe to pay on 2025-11-06 while keeping the 11300 ZAR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Requested 159600 INR; up to 159600 INR is safe to pay on 2026-07-03 while keeping the 129700 INR minimum balance. The full amount is safe today, so full payment on 2026-07-03 is recommended."
request_127,7377.02,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Requested 23980 ZAR; up to 7377.02 ZAR is safe to pay on 2024-09-05 while keeping the 41000 ZAR minimum balance. Full payment is not safe today; it is projected to become safe on 2024-10-15, so waiting is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Requested 25168 ZAR; up to 25168 ZAR is safe to pay on 2025-02-07 while keeping the 42600 ZAR minimum balance. The full amount is safe today, so full payment on 2025-02-07 is recommended."
request_129,159.01,not_affordable,not_recommended,none,,none,"Requested 2668.8 USD; up to 159.01 USD is safe to pay on 2026-04-04 while keeping the 800 USD minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_130,364.725,not_affordable,not_recommended,none,2025-02-16,none,"Requested 1978.8 USD; up to 364.725 USD is safe to pay on 2024-12-06 while keeping the 1400 USD minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_131,1419.59,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-13,none,"Requested 1855.2 USD; up to 1419.59 USD is safe to pay on 2025-05-03 while keeping the 1100 USD minimum balance. Full payment today is not safe, so the supplied installment option payment_option_372 is recommended: 3 payment(s) of 643.14 USD starting 2025-05-06."
request_132,363.73,affordable_with_plan,full_payment,2026-01-05:379.86,2026-01-15,reduce_to:event_12142:26,Requested 379.86 USD; up to 363.73 USD is safe to pay on 2026-01-05 while keeping the 1100 USD minimum balance. Full payment on 2026-01-05 becomes safe once this spending change is applied: reduce_to:event_12142:26.
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,"Requested 15770000 IDR; up to 15770000 IDR is safe to pay on 2024-03-07 while keeping the 9986200 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_134,4451971.385,not_affordable,not_recommended,none,2025-10-16,none,"Requested 21831000 IDR; up to 4451971.385 IDR is safe to pay on 2025-08-04 while keeping the 15902500 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,"Requested 304.8 USD; up to 304.8 USD is safe to pay on 2026-07-06 while keeping the 500 USD minimum balance. The full amount is safe today, so full payment on 2026-07-06 is recommended."
request_136,529.36,affordable_with_plan,full_payment,2024-06-03:560.4,2024-06-15,reduce_to:event_12498:27.2,Requested 560.4 USD; up to 529.36 USD is safe to pay on 2024-06-03 while keeping the 1100 USD minimum balance. Full payment on 2024-06-03 becomes safe once this spending change is applied: reduce_to:event_12498:27.2.
request_137,26148.150,not_affordable,not_recommended,none,2026-01-16,none,"Requested 80100 INR; up to 26148.150 INR is safe to pay on 2025-11-05 while keeping the 71800 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_138,1117.90,affordable_with_plan,partial_payment,2026-04-07:1117.90|2026-04-14:139.04,2026-04-14,none,"Requested 1256.94 EUR; up to 1117.90 EUR is safe to pay on 2026-04-07 while keeping the 2300 EUR minimum balance. Full payment today is not safe, so a partial-payment plan is recommended: 1117.90 EUR on 2026-04-07, then 139.04 EUR on 2026-04-14."
request_139,1330.41,not_affordable,not_recommended,none,2024-11-16,none,"Requested 2316 USD; up to 1330.41 USD is safe to pay on 2024-09-04 while keeping the 1500 USD minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_140,1425.815,not_affordable,not_recommended,none,,none,"Requested 62832 ZAR; up to 1425.815 ZAR is safe to pay on 2025-02-06 while keeping the 21600 ZAR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_141,26291.17,not_affordable,not_recommended,none,2026-03-18,none,"Requested 171600 INR; up to 26291.17 INR is safe to pay on 2026-01-03 while keeping the 67300 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Requested 1263.6 USD; up to 1263.6 USD is safe to pay on 2024-12-05 while keeping the 1700 USD minimum balance. The full amount is safe today, so full payment on 2024-12-05 is recommended."
request_143,2465.23,affordable_later,wait,2025-07-14:12584,2025-07-14,none,"Requested 12584 ZAR; up to 2465.23 ZAR is safe to pay on 2025-05-07 while keeping the 11300 ZAR minimum balance. Full payment is not safe today; it is projected to become safe on 2025-07-14, so waiting is recommended."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"Requested 233.34 USD; up to 233.34 USD is safe to pay on 2026-07-04 while keeping the 600 USD minimum balance. The full amount is safe today, so full payment on 2026-07-04 is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_145,28335.575,not_affordable,not_recommended,none,2024-05-18,none,"Requested 217400 INR; up to 28335.575 INR is safe to pay on 2024-03-06 while keeping the 155400 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_146,23197.17,not_affordable,not_recommended,none,,none,"Requested 449400 INR; up to 23197.17 INR is safe to pay on 2025-08-03 while keeping the 108600 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_147,548.58,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Requested 1129.7 EUR; up to 548.58 EUR is safe to pay on 2026-04-05 while keeping the 900 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_418 is recommended: 3 payment(s) of 391.63 EUR starting 2026-04-08. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_148,7120.375,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,"Requested 22242 ZAR; up to 7120.375 ZAR is safe to pay on 2024-06-07 while keeping the 20000 ZAR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_421 is recommended: 3 payment(s) of 7710.56 ZAR starting 2024-06-14."
request_149,22537.145,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-16,none,"Requested 36652 ZAR; up to 22537.145 ZAR is safe to pay on 2025-11-04 while keeping the 42100 ZAR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_424 is recommended: 3 payment(s) of 12706.03 ZAR starting 2025-11-18."
request_150,334.33,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Requested 496.1 EUR; up to 334.33 EUR is safe to pay on 2026-01-06 while keeping the 700 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_427 is recommended: 3 payment(s) of 171.98 EUR starting 2026-01-06."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Requested 26999000 IDR; up to 26999000 IDR is safe to pay on 2024-09-03 while keeping the 31633600 IDR minimum balance. The full amount is safe today, so full payment on 2024-09-03 is recommended."
request_152,11114.635,not_affordable,not_recommended,none,2025-04-18,none,"Requested 13882 ZAR; up to 11114.635 ZAR is safe to pay on 2025-02-05 while keeping the 11900 ZAR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_153,124.78,not_affordable,not_recommended,none,,none,"Requested 2830.8 USD; up to 124.78 USD is safe to pay on 2026-07-07 while keeping the 1400 USD minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Requested 1625.8 EUR; up to 1625.8 EUR is safe to pay on 2024-12-04 while keeping the 1300 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_438 is recommended: 3 payment(s) of 563.61 EUR starting 2024-12-04. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Requested 112500 INR; up to 112500 INR is safe to pay on 2025-05-06 while keeping the 56300 INR minimum balance. The full amount is safe today, so full payment on 2025-05-06 is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_156,10787.88,affordable_later,wait,2026-05-14:43076,2026-05-14,none,"Requested 43076 ZAR; up to 10787.88 ZAR is safe to pay on 2026-04-03 while keeping the 26900 ZAR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-05-14, so waiting is recommended."
request_157,4753445.220,not_affordable,not_recommended,none,2024-05-18,none,"Requested 23503000 IDR; up to 4753445.220 IDR is safe to pay on 2024-03-05 while keeping the 15714100 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Requested 242600 INR; up to 242600 INR is safe to pay on 2025-08-07 while keeping the 131400 INR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_449 is recommended: 3 payment(s) of 84101.33 INR starting 2025-08-07."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Requested 13398 ZAR; up to 13398 ZAR is safe to pay on 2026-01-04 while keeping the 8700 ZAR minimum balance. The full amount is safe today, so full payment on 2026-01-04 is recommended."
request_160,570.29,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-14,none,"Requested 1246.3 EUR; up to 570.29 EUR is safe to pay on 2024-06-06 while keeping the 1200 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_454 is recommended: 3 payment(s) of 432.05 EUR starting 2024-06-13."
request_161,7293476.555,affordable_later,wait,2026-01-14:21204000,2026-01-14,none,"Requested 21204000 IDR; up to 7293476.555 IDR is safe to pay on 2025-11-03 while keeping the 23010400 IDR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-01-14, so waiting is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_162,2428051.19,not_affordable,not_recommended,none,,none,"Requested 83923000 IDR; up to 2428051.19 IDR is safe to pay on 2026-07-05 while keeping the 24161100 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_163,8739824.67,not_affordable,not_recommended,none,2024-11-16,none,"Requested 19304000 IDR; up to 8739824.67 IDR is safe to pay on 2024-09-07 while keeping the 26728700 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Requested 27018000 IDR; up to 27018000 IDR is safe to pay on 2025-02-04 while keeping the 29550500 IDR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_465 is recommended: 3 payment(s) of 9366240 IDR starting 2025-02-11. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Requested 80600 INR; up to 80600 INR is safe to pay on 2026-04-06 while keeping the 95000 INR minimum balance. The full amount is safe today, so full payment on 2026-04-06 is recommended."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Requested 2907.6 USD; up to 2907.6 USD is safe to pay on 2024-12-03 while keeping the 1700 USD minimum balance. Full payment today is not safe, so the supplied installment option payment_option_471 is recommended: 3 payment(s) of 1007.97 USD starting 2024-12-03."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Requested 43802 ZAR; up to 43802 ZAR is safe to pay on 2025-05-05 while keeping the 31200 ZAR minimum balance. The full amount is safe today, so full payment on 2025-05-05 is recommended."
request_168,39306.405,affordable_with_plan,partial_payment,2026-01-07:39306.405|2026-01-15:10073.595,2026-01-15,none,"Requested 49380 INR; up to 39306.405 INR is safe to pay on 2026-01-07 while keeping the 114400 INR minimum balance. Full payment today is not safe, so a partial-payment plan is recommended: 39306.405 INR on 2026-01-07, then 10073.595 INR on 2026-01-15."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Requested 41976 ZAR; up to 41976 ZAR is safe to pay on 2024-03-04 while keeping the 18700 ZAR minimum balance. The full amount is safe today, so full payment on 2024-03-04 is recommended."
request_170,30061352.59,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Requested 36936000 IDR; up to 30061352.59 IDR is safe to pay on 2025-08-06 while keeping the 24715800 IDR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_483 is recommended: 3 payment(s) of 12804480 IDR starting 2025-08-06."
request_171,67.14,not_affordable,not_recommended,none,,none,"Requested 1878.8 EUR; up to 67.14 EUR is safe to pay on 2026-07-03 while keeping the 500 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Requested 10200 ZAR; up to 10200 ZAR is safe to pay on 2024-06-05 while keeping the 27200 ZAR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_489 is recommended: 2 payment(s) of 5304 ZAR starting 2024-06-05."
request_173,0,not_affordable,not_recommended,none,,none,"Requested 113000 INR; up to 0 INR is safe to pay on 2025-11-07 while keeping the 79100 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Requested 1146.2 EUR; up to 1146.2 EUR is safe to pay on 2026-04-04 while keeping the 700 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_494 is recommended: 3 payment(s) of 397.35 EUR starting 2026-04-04."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Requested 2346.3 EUR; up to 2346.3 EUR is safe to pay on 2024-09-06 while keeping the 1700 EUR minimum balance. The full amount is safe today, so full payment on 2024-09-06 is recommended."
request_176,270.15,not_affordable,not_recommended,none,2025-05-01,none,"Requested 1239.7 EUR; up to 270.15 EUR is safe to pay on 2025-02-03 while keeping the 600 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Requested 1017.6 USD; up to 1017.6 USD is safe to pay on 2026-01-05 while keeping the 1300 USD minimum balance. The full amount is safe today, so full payment on 2026-01-05 is recommended."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Requested 2938.1 EUR; up to 2938.1 EUR is safe to pay on 2024-12-07 while keeping the 1400 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_506 is recommended: 3 payment(s) of 1018.54 EUR starting 2024-12-07."
request_179,6506134.09,affordable_later,wait,2025-07-14:41648000,2025-07-14,none,"Requested 41648000 IDR; up to 6506134.09 IDR is safe to pay on 2025-05-04 while keeping the 41430800 IDR minimum balance. Full payment is not safe today; it is projected to become safe on 2025-07-14, so waiting is recommended."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Requested 66500 INR; up to 66500 INR is safe to pay on 2026-07-06 while keeping the 37300 INR minimum balance. The full amount is safe today, so full payment on 2026-07-06 is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_181,475.41,not_affordable,not_recommended,none,,none,"Requested 5059.2 USD; up to 475.41 USD is safe to pay on 2024-03-03 while keeping the 2000 USD minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Requested 65714 ZAR; up to 65714 ZAR is safe to pay on 2025-08-05 while keeping the 31100 ZAR minimum balance. The full amount is safe today, so full payment on 2025-08-05 is recommended."
request_183,25097453.135,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-14,none,"Requested 26866000 IDR; up to 25097453.135 IDR is safe to pay on 2026-04-07 while keeping the 11878300 IDR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_521 is recommended: 3 payment(s) of 9313546.67 IDR starting 2026-04-10."
request_184,17569.20,not_affordable,not_recommended,none,,none,"Requested 251900 INR; up to 17569.20 INR is safe to pay on 2024-06-04 while keeping the 110800 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_185,310.350,not_affordable,not_recommended,none,2026-01-16,none,"Requested 1257.3 EUR; up to 310.350 EUR is safe to pay on 2025-11-06 while keeping the 1300 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_186,7512.99,affordable_later,wait,2026-02-15:26554,2026-02-15,none,"Requested 26554 ZAR; up to 7512.99 ZAR is safe to pay on 2026-01-03 while keeping the 22000 ZAR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-02-15, so waiting is recommended."
request_187,37750.93,not_affordable,not_recommended,none,2024-11-16,none,"Requested 187500 INR; up to 37750.93 INR is safe to pay on 2024-09-05 while keeping the 128300 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_188,107.665,not_affordable,not_recommended,none,,none,"Requested 2464 EUR; up to 107.665 EUR is safe to pay on 2025-02-07 while keeping the 900 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,"Requested 488.4 EUR; up to 488.4 EUR is safe to pay on 2026-07-04 while keeping the 400 EUR minimum balance. The full amount is safe today, so full payment on 2026-07-04 is recommended."
request_190,467.71,not_affordable,not_recommended,none,2025-02-16,none,"Requested 2557.5 EUR; up to 467.71 EUR is safe to pay on 2024-12-06 while keeping the 1600 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,"Requested 664.4 EUR; up to 664.4 EUR is safe to pay on 2025-05-03 while keeping the 500 EUR minimum balance. The full amount is safe today, so full payment on 2025-05-03 is recommended."
request_192,297.26,not_affordable,not_recommended,none,,none,"Requested 2046 USD; up to 297.26 USD is safe to pay on 2026-04-05 while keeping the 1000 USD minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_193,31.02,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-18,none,"Requested 1212.2 EUR; up to 31.02 EUR is safe to pay on 2024-03-07 while keeping the 1000 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_549 is recommended: 3 payment(s) of 420.23 EUR starting 2024-03-21. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_194,39203.33,affordable_later,wait,2025-10-17:132800,2025-10-17,none,"Requested 132800 INR; up to 39203.33 INR is safe to pay on 2025-08-04 while keeping the 113600 INR minimum balance. Full payment is not safe today; it is projected to become safe on 2025-10-17, so waiting is recommended."
request_195,1064.35,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Requested 1170.4 EUR; up to 1064.35 EUR is safe to pay on 2026-01-06 while keeping the 700 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_555 is recommended: 3 payment(s) of 405.74 EUR starting 2026-01-09."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,"Requested 762.3 EUR; up to 762.3 EUR is safe to pay on 2024-06-03 while keeping the 500 EUR minimum balance. The full amount is safe today, so full payment on 2024-06-03 is recommended."
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Requested 50939000 IDR; up to 50939000 IDR is safe to pay on 2025-11-05 while keeping the 26245900 IDR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_562 is recommended: 3 payment(s) of 17658853.33 IDR starting 2025-11-19. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Requested 185800 INR; up to 185800 INR is safe to pay on 2026-07-07 while keeping the 124300 INR minimum balance. The full amount is safe today, so full payment on 2026-07-07 is recommended."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Requested 23674000 IDR; up to 23674000 IDR is safe to pay on 2024-09-04 while keeping the 25359500 IDR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_569 is recommended: 3 payment(s) of 8206986.67 IDR starting 2024-09-07."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Requested 21717000 IDR; up to 21717000 IDR is safe to pay on 2025-02-06 while keeping the 20114600 IDR minimum balance. The full amount is safe today, so full payment on 2025-02-06 is recommended."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Requested 23997000 IDR; up to 23997000 IDR is safe to pay on 2026-04-03 while keeping the 17304500 IDR minimum balance. The full amount is safe today, so full payment on 2026-04-03 is recommended."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Requested 123900 INR; up to 123900 INR is safe to pay on 2024-12-05 while keeping the 147800 INR minimum balance. The full amount is safe today, so full payment on 2024-12-05 is recommended."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Requested 1442.1 EUR; up to 1442.1 EUR is safe to pay on 2025-05-07 while keeping the 1400 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_583 is recommended: 3 payment(s) of 499.93 EUR starting 2025-05-10."
request_204,567.135,affordable_with_plan,full_payment,2026-01-04:588.74,2026-01-15,reduce_to:event_18827:33,"Requested 588.74 EUR; up to 567.135 EUR is safe to pay on 2026-01-04 while keeping the 1300 EUR minimum balance. Full payment on 2026-01-04 becomes safe once this spending change is applied: reduce_to:event_18827:33. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Requested 10621000 IDR; up to 10621000 IDR is safe to pay on 2024-03-06 while keeping the 13994300 IDR minimum balance. The full amount is safe today, so full payment on 2024-03-06 is recommended."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Requested 1404.7 EUR; up to 1404.7 EUR is safe to pay on 2025-08-03 while keeping the 900 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_592 is recommended: 3 payment(s) of 486.96 EUR starting 2025-08-03."
request_207,5400.55,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Requested 11830 ZAR; up to 5400.55 ZAR is safe to pay on 2026-07-05 while keeping the 13600 ZAR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-07-15, so waiting is recommended."
request_208,3015814.295,affordable_later,wait,2024-06-14:4413000,2024-06-14,none,"Requested 4413000 IDR; up to 3015814.295 IDR is safe to pay on 2024-06-07 while keeping the 10470700 IDR minimum balance. Full payment is not safe today; it is projected to become safe on 2024-06-14, so waiting is recommended."
request_209,2515.21,not_affordable,not_recommended,none,,none,"Requested 56914 ZAR; up to 2515.21 ZAR is safe to pay on 2025-11-04 while keeping the 18400 ZAR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_210,1115.14,affordable_with_plan,partial_payment,2026-04-06:1115.14|2026-04-14:244.88,2026-04-14,none,"Requested 1360.02 USD; up to 1115.14 USD is safe to pay on 2026-04-06 while keeping the 2000 USD minimum balance. Full payment today is not safe, so a partial-payment plan is recommended: 1115.14 USD on 2026-04-06, then 244.88 USD on 2026-04-14."
request_211,265.15,affordable_later,wait,2024-10-16:1788.6,2024-10-16,none,"Requested 1788.6 EUR; up to 265.15 EUR is safe to pay on 2024-09-03 while keeping the 1500 EUR minimum balance. Full payment is not safe today; it is projected to become safe on 2024-10-16, so waiting is recommended."
request_212,5599242.985,not_affordable,not_recommended,none,,none,"Requested 71934000 IDR; up to 5599242.985 IDR is safe to pay on 2025-02-05 while keeping the 29579800 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Requested 3362.4 USD; up to 3362.4 USD is safe to pay on 2026-01-07 while keeping the 2100 USD minimum balance. Full payment today is not safe, so the supplied installment option payment_option_610 is recommended: 3 payment(s) of 1165.63 USD starting 2026-01-21."
